title,article_link,school,content,text,time
為什麼法律人都認為酒駕刑責不該調高？,https://www.dcard.tw/f/lawyer/p/257097113,國立臺北大學 法律學系,,反正讀法律的就一群沒血沒淚還覺得自己是唯一真理別人都是法盲的人啊差低,2024-10-30T06:57:08.939Z
#情報 《換乘戀愛2》金泰亦酒駕被抓！,https://www.dcard.tw/f/entertainer/p/257208587,國立宜蘭大學,"是叫金泰...的都很容易翻車啊？？？
剛剛看到新聞
虧我追戀綜的時候還覺得他超帥
當初他靠這組圖 煞瘋超多人...","WC
其實他本身就非常有魅力 那組圖真的帥死 換乘2最喜歡的男生就是他嗚嗚嗚",2024-11-11T11:55:45.792Z
酒駕🐒,https://www.dcard.tw/f/talk/p/240102752,宇智剝柚子,"剛剛看限時 看到一個之前交友軟體上面認識的人酒駕撞到人…
而且撞到人還在拍限時 怎麼有這種人==
喝酒不開車真的很困難嗎？不能乖乖叫Uber、計程車或代駕？",酒駕都去ㄙˇ==,2022-09-27T03:57:38.907Z
7/1酒駕連坐法 ！ 實施！！！,https://www.dcard.tw/f/talk/p/231540709,中國文化大學,"立法院今年3月26日三讀通過《道路交通管理處罰條例》多項條文修正案，除針對汽機車酒駕累犯、拒測、慢車酒駕等加重罰則外，並增訂對酒駕肇事致人重傷或死亡得沒入該車輛、同車乘客共責、運輸業者附帶懲罰性賠償等規定；此外，7月1日起更加重罰鍰及同車連坐處罰。

酒駕新制將於7月1日上路，駕駛吐氣酒精濃度達每公升0.25毫克以上者，同車乘客處600元至3000元以下罰鍰，但未滿18歲、年滿70歲、心智障礙或汽車運輸業乘客不在此限；此外，酒駕肇事者5年內再犯酒駕或酒駕拒測，因而肇事致人重傷或死亡，得依行政罰法規定沒入該車輛。


不要以為不是你開車就沒事了
7/1酒駕連坐法開始實施囉！",罰真輕，才三千？,2019-06-20T22:37:54.595Z
律師三次酒駕被懲戒了！,https://www.dcard.tw/f/lawyer/p/256915904,lipton,,我常常都覺得律懲會根本笑話，一堆處分都不痛不癢,2024-10-10T00:01:27.335Z
對不起🧎我酒駕過,https://www.dcard.tw/f/mood/p/240068736,輔仁大學,"我知道大家對酒駕非常痛恨，我自己也是。
事情發生在自己身上真的覺得自己到底在幹嘛😭
去年跟朋友喝酒喝到中午1-2.，我直接睡到晚上10.，清醒後想說隔了那麼久7-8小時應該退了，而且起床很正常也不暈，還叫朋友起來一起做學校報告，又做了一個小時才從朋友家離開
之前喝酒都搭捷運或是搭車的我，那陣子想買5萬塊的狗狗，為了省錢跑去騎共享機車，然後晚上很多路都有酒測我就被抓了……
警察說我的濃度不到0.25所以不用現場抓去關，但要扣車，隔天還要去交通裁決所繳罰單，扣留駕照一年，我當下真的嚇死😰 很猶豫要不要跟家人說，或是選擇自殺(說明一下想自殺是一回事，本質上酒駕就是酒駕，沒得裝可憐來搏同情，錯了就是錯了)第一天第二天都有嘗試好幾次跑去頂樓想跳下去，但是不知道為什麼就是跳不下去，到了第三天情緒比較正常了，跟家人說出來後才放下大石頭，這三天真的是我人身最黑暗的時候，每天都希望是在做夢，三天都在哭，不知道自己在幹嘛😞
後續就是繳了1萬五的酒駕罰單跟共享車的服務費500，上了8小時的酒駕宣導課，一年不能騎車，目前也已經拿回駕照了。
我很慶幸自己酒駕沒有害死人也沒有害死自己，也很慶幸警察有抓我🙏🙏
我爸媽跟我說，如果你今天有酒駕的想法，如果這次逃過沒被抓，下一次一定又會有酒駕的想法，現在被抓到算是幸運，給個警惕跟教訓，還好沒鬧出人命或是更大的事情，不然就沒那麼簡單處理了，一輩子都完蛋了
我現在是真的學到教訓，不貪叫車的錢或是朋友喝酒我都直接幫他叫車
有時候看到酒駕的新聞 底下留言都說酒駕去死一死，說真的看到的時候心情感覺很…..我知道大家很討厭酒駕，但是也有一些人跟我一樣是有在認真悔過的，就跟監獄的犯人一樣，雖然有犯過錯但是真心想悔改，希望可以包容我們這些犯過錯但有心想悔改的人🙏🙏",這證明留言罵死一死是對的，讓你們這些酒駕的永遠記得這過錯的悔恨，做過的事會跟著你們一輩子的，真正的悔改是接納自己犯過錯的事實並與之共存，而不是冀望外界掩飾太平,2022-09-23T03:13:05.245Z
酒駕要被抓才叫酒駕,https://www.dcard.tw/f/talk/p/237780282,肥宅兒,"原來喝酒騎車要被抓才叫酒駕
我現在才知道
前幾天酒駕才害一個家庭破碎 看來法律治不了他們
喔對了騎車還用手機^_^",尼要記得 社會上低端人口是占大多數ㄉ,2021-12-29T08:42:58.043Z
酒駕,https://www.dcard.tw/f/talk/p/237772598,男人與熊,,因為人民還在睡啊 大家只會在網路震怒 有用嗎？官員多一事不如少一事 爽爽混 爽領錢 舒適,2021-12-28T08:46:35.637Z
酒駕的人,https://www.dcard.tw/f/talk/p/257126011,Max,,倒霉個屁,2024-11-03T22:12:02.338Z
#諮詢 酒駕問題,https://www.dcard.tw/f/lawyer/p/235173115,國立交通大學,"我是香港學生因為之前酒駕問題犯了公共危險罪而檢察官給予一年半緩起訴處分及76小時勞務
那麼我做完勞務還可以出入境嗎？","希望驅逐出境
不要在台灣酒駕害人",2021-01-14T17:12:49.456Z
