Occurrence_Date,Occurrence_Time,Accident_Location,Weather,Road_Type_Main,Road_Type_Sub,Accident_Location_Type_Main,Accident_Location_Type_Sub,Cause_Judgment_Main,Cause_Judgment_Sub,Longitude,Latitude
20240101.0,95600.0,屏東縣新埤鄉台1線 422公里300.0公尺處北側,晴,單路部分,直路,其他,其他,駕駛者,患病或服用藥物(疲勞)駕駛,120.533531,22.505826
20240101.0,95600.0,屏東縣新埤鄉台1線 422公里300.0公尺處北側,晴,單路部分,直路,其他,其他,駕駛者,患病或服用藥物(疲勞)駕駛,120.533531,22.505826
20240101.0,135600.0,新北市三峽區三樹路 / 新北市三峽區龍埔路,晴,交岔路,三岔路,交叉路口,交叉路口內,駕駛者,起步時未注意安全,121.387116,24.938925
20240101.0,135600.0,新北市三峽區三樹路 / 新北市三峽區龍埔路,晴,交岔路,三岔路,交叉路口,交叉路口內,駕駛者,起步時未注意安全,121.387116,24.938925
20240101.0,135600.0,新北市三峽區三樹路 / 新北市三峽區龍埔路,晴,交岔路,三岔路,交叉路口,交叉路口內,駕駛者,起步時未注意安全,121.387116,24.938925
20240101.0,223000.0,澎湖縣湖西鄉縣204線 7公里530.0公尺處,陰,單路部分,直路,路段,路肩、路緣,駕駛者,酒醉(後)駕駛,119.641137,23.56274
20240101.0,223000.0,澎湖縣湖西鄉縣204線 7公里530.0公尺處,陰,單路部分,直路,路段,路肩、路緣,駕駛者,酒醉(後)駕駛,119.641137,23.56274
20240101.0,231920.0,桃園市八德區天祥街附近 / 桃園市八德區國道2號橋下便道口,晴,交岔路,四岔路,交叉路口,交叉路口內,駕駛者,違反閃光號誌,121.301528,24.974739
20240101.0,231920.0,桃園市八德區天祥街附近 / 桃園市八德區國道2號橋下便道口,晴,交岔路,四岔路,交叉路口,交叉路口內,駕駛者,違反閃光號誌,121.301528,24.974739
20240102.0,93056.0,花蓮縣秀林鄉台9丁線 68公里500.0公尺處,陰,單路部分,彎曲路及附近,路段,路肩、路緣,駕駛者,恍神、緊張、心不在焉分心駕駛,121.739574,24.264545
20240102.0,93056.0,花蓮縣秀林鄉台9丁線 68公里500.0公尺處,陰,單路部分,彎曲路及附近,路段,路肩、路緣,駕駛者,恍神、緊張、心不在焉分心駕駛,121.739574,24.264545
20240103.0,60200.0,雲林縣臺西鄉富琦村台17線與雲158甲路口,晴,單路部分,涵洞,路段,一般車道(未劃分快慢車道),駕駛者,未保持行車安全距離,120.217591,23.723232
20240103.0,60200.0,雲林縣臺西鄉富琦村台17線與雲158甲路口,晴,單路部分,涵洞,路段,一般車道(未劃分快慢車道),駕駛者,未保持行車安全距離,120.217591,23.723232
20240103.0,120300.0,南投縣竹山鎮水尾巷8之13號前,晴,交岔路,三岔路,交叉路口,交叉口附近,其他,車輛或機械操作不當(慎),120.720204,23.813074
20240103.0,120300.0,南投縣竹山鎮水尾巷8之13號前,晴,交岔路,三岔路,交叉路口,交叉口附近,其他,車輛或機械操作不當(慎),120.720204,23.813074
20240103.0,203800.0,臺中市清水區橋頭里五權路 / 臺中市清水區橋頭里民治路,晴,交岔路,四岔路,交叉路口,交叉路口內,駕駛者,車輛未依規定暫停讓行人先行,120.570289,24.276129
20240103.0,203800.0,臺中市清水區橋頭里五權路 / 臺中市清水區橋頭里民治路,晴,交岔路,四岔路,交叉路口,交叉路口內,駕駛者,車輛未依規定暫停讓行人先行,120.570289,24.276129
20240103.0,203800.0,臺中市清水區橋頭里五權路 / 臺中市清水區橋頭里民治路,晴,交岔路,四岔路,交叉路口,交叉路口內,駕駛者,車輛未依規定暫停讓行人先行,120.570289,24.276129
20240103.0,212700.0,臺中市西屯區福和里臺灣大道四段前0.0公尺,陰,單路部分,直路,路段,慢車道,其他,其他不當駕車行為,120.624708,24.178252
20240103.0,212700.0,臺中市西屯區福和里臺灣大道四段前0.0公尺,陰,單路部分,直路,路段,慢車道,其他,其他不當駕車行為,120.624708,24.178252
20240103.0,234300.0,臺中市北區文莊里五權路 / 臺中市北區文莊里英士路,晴,交岔路,四岔路,交叉路口,交叉路口內,駕駛者,闖紅燈左轉(或迴轉),120.676172,24.150283
20240103.0,234300.0,臺中市北區文莊里五權路 / 臺中市北區文莊里英士路,晴,交岔路,四岔路,交叉路口,交叉路口內,駕駛者,闖紅燈左轉(或迴轉),120.676172,24.150283
20240104.0,82000.0,雲林縣莿桐鄉莿桐村台1線與中山路路口,晴,交岔路,多岔路,交叉路口,交叉口附近,駕駛者,闖紅燈直行,120.495781,23.76128
20240104.0,82000.0,雲林縣莿桐鄉莿桐村台1線與中山路路口,晴,交岔路,多岔路,交叉路口,交叉口附近,駕駛者,闖紅燈直行,120.495781,23.76128
20240104.0,82000.0,雲林縣莿桐鄉莿桐村台1線與中山路路口,晴,交岔路,多岔路,交叉路口,交叉口附近,駕駛者,闖紅燈直行,120.495781,23.76128
20240104.0,82400.0,臺中市石岡區萬安里明德路61號前0.0公尺,晴,單路部分,直路,路段,快車道,其他,其他不當駕車行為,120.778393,24.274254
20240104.0,82400.0,臺中市石岡區萬安里明德路61號前0.0公尺,晴,單路部分,直路,路段,快車道,其他,其他不當駕車行為,120.778393,24.274254
20240104.0,103500.0,高雄市旗山區台3省道光興157燈桿號前0.0公尺,晴,單路部分,直路,路段,路肩、路緣,駕駛者,觀看其他事故、活動、道路環境或車外資訊分心駕駛,120.4557,22.9263
20240104.0,103500.0,高雄市旗山區台3省道光興157燈桿號前0.0公尺,晴,單路部分,直路,路段,路肩、路緣,駕駛者,觀看其他事故、活動、道路環境或車外資訊分心駕駛,120.4557,22.9263
20240104.0,133500.0,臺中市大雅區西平北巷R02路燈處,晴,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),其他,車輛或機械操作不當(慎),120.624142,24.207392
20240104.0,133500.0,臺中市大雅區西平北巷R02路燈處,晴,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),其他,車輛或機械操作不當(慎),120.624142,24.207392
20240104.0,133500.0,臺中市大雅區西平北巷R02路燈處,晴,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),其他,車輛或機械操作不當(慎),120.624142,24.207392
20240104.0,182412.0,新竹市香山區國道3號 108公里500.0公尺處南側向外側,晴,單路部分,直路,路段,快車道,駕駛者,未保持行車安全距離,120.920935,24.741038
20240104.0,182412.0,新竹市香山區國道3號 108公里500.0公尺處南側向外側,晴,單路部分,直路,路段,快車道,駕駛者,未保持行車安全距離,120.920935,24.741038
20240104.0,182412.0,新竹市香山區國道3號 108公里500.0公尺處南側向外側,晴,單路部分,直路,路段,快車道,駕駛者,未保持行車安全距離,120.920935,24.741038
20240104.0,182412.0,新竹市香山區國道3號 108公里500.0公尺處南側向外側,晴,單路部分,直路,路段,快車道,駕駛者,未保持行車安全距離,120.920935,24.741038
20240104.0,182412.0,新竹市香山區國道3號 108公里500.0公尺處南側向外側,晴,單路部分,直路,路段,快車道,駕駛者,未保持行車安全距離,120.920935,24.741038
20240104.0,182412.0,新竹市香山區國道3號 108公里500.0公尺處南側向外側,晴,單路部分,直路,路段,快車道,駕駛者,未保持行車安全距離,120.920935,24.741038
20240104.0,182412.0,新竹市香山區國道3號 108公里500.0公尺處南側向外側,晴,單路部分,直路,路段,快車道,駕駛者,未保持行車安全距離,120.920935,24.741038
20240104.0,182412.0,新竹市香山區國道3號 108公里500.0公尺處南側向外側,晴,單路部分,直路,路段,快車道,駕駛者,未保持行車安全距離,120.920935,24.741038
20240105.0,211400.0,高雄市鳳山區村博愛路241號前0.0公尺,晴,交岔路,三岔路,路段,快車道,駕駛者,無號誌路口，轉彎車未讓直行車先行,120.3553,22.64951
20240105.0,211400.0,高雄市鳳山區村博愛路241號前0.0公尺,晴,交岔路,三岔路,路段,快車道,駕駛者,無號誌路口，轉彎車未讓直行車先行,120.3553,22.64951
20240106.0,25400.0,臺中市中區大墩里三民路二段47號前0.0公尺,晴,單路部分,直路,路段,一般車道(未劃分快慢車道),非駕駛者,在道路上嬉戲或奔走不定,120.678229,24.141333
20240106.0,25400.0,臺中市中區大墩里三民路二段47號前0.0公尺,晴,單路部分,直路,路段,一般車道(未劃分快慢車道),非駕駛者,在道路上嬉戲或奔走不定,120.678229,24.141333
20240106.0,121200.0,屏東縣萬丹鄉崙頂村萬順路2段口 / 屏東縣萬丹鄉崙頂村崙中路口,晴,交岔路,四岔路,交叉路口,交叉路口內,駕駛者,左轉彎未依規定,120.464529,22.586409
20240106.0,121200.0,屏東縣萬丹鄉崙頂村萬順路2段口 / 屏東縣萬丹鄉崙頂村崙中路口,晴,交岔路,四岔路,交叉路口,交叉路口內,駕駛者,左轉彎未依規定,120.464529,22.586409
20240106.0,121200.0,屏東縣萬丹鄉崙頂村萬順路2段口 / 屏東縣萬丹鄉崙頂村崙中路口,晴,交岔路,四岔路,交叉路口,交叉路口內,駕駛者,左轉彎未依規定,120.464529,22.586409
20240106.0,212005.0,雲林縣西螺鎮國道1號 231公里北側向中線,晴,單路部分,直路,路段,快車道,駕駛者,恍神、緊張、心不在焉分心駕駛,120.474831,23.780285
20240106.0,212005.0,雲林縣西螺鎮國道1號 231公里北側向中線,晴,單路部分,直路,路段,快車道,駕駛者,恍神、緊張、心不在焉分心駕駛,120.474831,23.780285
20240106.0,212005.0,雲林縣西螺鎮國道1號 231公里北側向中線,晴,單路部分,直路,路段,快車道,駕駛者,恍神、緊張、心不在焉分心駕駛,120.474831,23.780285
20240106.0,212005.0,雲林縣西螺鎮國道1號 231公里北側向中線,晴,單路部分,直路,路段,快車道,駕駛者,恍神、緊張、心不在焉分心駕駛,120.474831,23.780285
20240107.0,4600.0,嘉義市西區下埤里下埤路282號前0.0公尺,晴,單路部分,直路,路段,一般車道(未劃分快慢車道),其他,車輛或機械操作不當(慎),120.4094,23.49217
20240107.0,4600.0,嘉義市西區下埤里下埤路282號前0.0公尺,晴,單路部分,直路,路段,一般車道(未劃分快慢車道),其他,車輛或機械操作不當(慎),120.4094,23.49217
20240107.0,4600.0,嘉義市西區下埤里下埤路282號前0.0公尺,晴,單路部分,直路,路段,一般車道(未劃分快慢車道),其他,車輛或機械操作不當(慎),120.4094,23.49217
20240107.0,111900.0,新竹市東區寶山路247號前0.0公尺附近,晴,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),駕駛者,酒醉(後)駕駛,120.979653,24.789102
20240107.0,111900.0,新竹市東區寶山路247號前0.0公尺附近,晴,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),駕駛者,酒醉(後)駕駛,120.979653,24.789102
20240107.0,120000.0,高雄市大寮區河堤路1段376號前0.0公尺,晴,單路部分,直路,路段,快車道,駕駛者,逆向行駛,120.427552,22.622172
