Occurrence_Date,Occurrence_Time,Accident_Location,Weather,Road_Type_Main,Road_Type_Sub,Accident_Location_Type_Main,Accident_Location_Type_Sub,Cause_Judgment_Main,Cause_Judgment_Sub,Longitude,Latitude
20240117,172000,桃園市觀音區大觀路三段330號前0.0公尺附近,陰,單路部分,直路,路段,一般車道(未劃分快慢車道),駕駛者,酒醉(後)駕駛,121.124537,25.036872
20240117,172000,桃園市觀音區大觀路三段330號前0.0公尺附近,陰,單路部分,直路,路段,一般車道(未劃分快慢車道),駕駛者,酒醉(後)駕駛,121.124537,25.036872
20240117,172000,桃園市觀音區大觀路三段330號前0.0公尺附近,陰,單路部分,直路,路段,一般車道(未劃分快慢車道),駕駛者,酒醉(後)駕駛,121.124537,25.036872
20240902,224900,桃園市大溪區康莊路645號前0.0公尺附近,晴,單路部分,直路,路段,一般車道(未劃分快慢車道),駕駛者,酒醉(後)駕駛,121.284153,24.867405
20240902,224900,桃園市大溪區康莊路645號前0.0公尺附近,晴,單路部分,直路,路段,一般車道(未劃分快慢車道),駕駛者,酒醉(後)駕駛,121.284153,24.867405
20240909,230700,桃園市大溪區國道3號 62公里400.0公尺處南側向交流道,晴,單路部分,直路,交流道,直線匝道,駕駛者,酒醉(後)駕駛,121.26529,24.894349
20240909,230700,桃園市大溪區國道3號 62公里400.0公尺處南側向交流道,晴,單路部分,直路,交流道,直線匝道,駕駛者,酒醉(後)駕駛,121.26529,24.894349
20240925,183700,桃園市復興區台7線 21公里200.0公尺處附近,雨,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),駕駛者,酒醉(後)駕駛,121.367803,24.801265
20240925,183700,桃園市復興區台7線 21公里200.0公尺處附近,雨,單路部分,彎曲路及附近,路段,一般車道(未劃分快慢車道),駕駛者,酒醉(後)駕駛,121.367803,24.801265
20241002,213900,桃園市龜山區南美街與麗水巷口附近,雨,單路部分,直路,路段,一般車道(未劃分快慢車道),駕駛者,酒醉(後)駕駛,121.295607,25.049859
20241002,213900,桃園市龜山區南美街與麗水巷口附近,雨,單路部分,直路,路段,一般車道(未劃分快慢車道),駕駛者,酒醉(後)駕駛,121.295607,25.049859
