title,time,summary,image_url,article_link,like_count,comment_count,save_count
酒駕🐒,2022-09-27T03:51:57.933Z,"閒聊
可疑帳號
2022 年 9 月 27 日",https://megapx-assets.dcard.tw/images/97586e4d-8b8b-4a10-8ab9-8266a5e93454/160.jpeg,https://www.dcard.tw/f/talk/p/240102752,0,0,0
酒駕…,2024-04-19T15:19:48.202Z,"心情
4 月 19 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/255315007,0,0,0
警「鷹眼」攔酒駕累犯　法院認「不合程序」判免罰,2024-10-10T02:39:01.647Z,"心情
10 月 10 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/256917009,0,0,18
#情報 《換乘戀愛2》金泰亦酒駕被抓！,2024-11-11T10:17:12.861Z,"追星
11 月 11 日",https://megapx-assets.dcard.tw/images/0fcfdd25-f233-45a9-a232-deaed063e09b/160.jpeg,https://www.dcard.tw/f/entertainer/p/257208587,0,0,0
資工一B酒駕男,2024-05-14T10:48:48.653Z,"靜宜大學
5 月 14 日",https://megapx-assets.dcard.tw/images/dc54b689-7848-43eb-aa29-5f580548e33d/160.jpeg,https://www.dcard.tw/f/pu/p/255548636,0,0,0
支持大麻合法化和支持酒駕合法化一樣荒謬,2024-10-28T01:37:04.608Z,"閒聊
10 月 28 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/257076878,0,0,2
7/1酒駕連坐法 ！ 實施！！！,2019-06-20T22:33:46.073Z,"閒聊
可疑帳號
2019 年 6 月 21 日",https://megapx-assets.dcard.tw/images/97586e4d-8b8b-4a10-8ab9-8266a5e93454/160.jpeg,https://www.dcard.tw/f/talk/p/231540709,0,9,1
律師三次酒駕被懲戒了！,2024-10-09T18:55:36.218Z,"法律人
10 月 10 日",https://megapx-assets.dcard.tw/images/6280dbbb-2875-49dc-9eb3-b5e48e034899/160.jpeg,https://www.dcard.tw/f/lawyer/p/256915904,0,0,8
台灣有這樣的政黨嗎？,2024-12-14T00:37:42.732Z,"閒聊
12 月 14 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/257495547,0,0,0
酒駕罰責太輕嗎？當然。,2023-05-10T13:23:01.469Z,"閒聊
2023 年 5 月 10 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/241989676,0,55,3
對不起🧎我酒駕過,2022-09-23T03:04:39.249Z,"心情
2022 年 9 月 23 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/240068736,0,3,5
行情姐的殞落,2024-12-20T12:50:31.035Z,"心情
4 天",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/257551773,0,0,0
僥倖於酒駕,2016-12-31T18:55:46.229Z,"心情
2017 年 1 月 1 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/225500129,0,5,2
酒駕可以檢舉嗎,2021-04-18T05:14:04.464Z,"心情
2021 年 4 月 18 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/235792618,0,0,1
