title,time,summary,image_url,article_link,like_count,comment_count,save_count
#刑法解題 酒駕致傷死亡案例,2024-05-09T12:16:43.969Z,"法律人
5 月 9 日",https://megapx-assets.dcard.tw/images/6280dbbb-2875-49dc-9eb3-b5e48e034899/160.jpeg,https://www.dcard.tw/f/lawyer/p/255504389,0,2,11
影／25歲女騎士慘遭酒駕BMW撞飛死亡！,2024-01-26T11:16:38.206Z,"閒聊
1 月 26 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/254527496,0,0,0
達爾文來了，酒駕2人死亡，警釐清誰駕駛,2023-05-07T03:39:38.311Z,"閒聊
2023 年 5 月 7 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/241957999,0,0,5
有片／桃園死亡車禍！2菲律賓男酒駕雙載 闖紅燈撞車1死1重傷,2024-08-06T11:51:38.284Z,"心情
8 月 6 日",https://megapx-assets.dcard.tw/images/0f770d7c-35f4-4e74-aa7a-fe1bed8f4211/160.jpeg,https://www.dcard.tw/f/mood/p/256307894,0,0,0
酒駕罰則真的太輕嗎？,2023-05-08T18:40:59.389Z,"閒聊
2023 年 5 月 9 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/241973623,0,0,9
#更 酒駕造成破碎家庭,2016-11-21T01:46:41.487Z,"心情
2016 年 11 月 21 日",https://megapx-assets.dcard.tw/images/0f770d7c-35f4-4e74-aa7a-fe1bed8f4211/160.jpeg,https://www.dcard.tw/f/mood/p/225234555,0,245,154
#心情 恨透酒駕,2023-08-27T11:50:25.740Z,"軍旅
2023 年 8 月 27 日",https://megapx-assets.dcard.tw/images/cfc2ea90-1dc0-4d1e-843c-83191dc6b537/160.jpeg,https://www.dcard.tw/f/military/p/253088591,0,13,1
問 台中哪裡是常有酒駕肇事的路段,2023-10-22T07:10:16.354Z,"心情
2023 年 10 月 22 日",https://megapx-assets.dcard.tw/images/0f770d7c-35f4-4e74-aa7a-fe1bed8f4211/160.jpeg,https://www.dcard.tw/f/mood/p/253643451,0,4,0
有人知道柯文哲 他是台灣酒駕防制社會關懷協會創始人嗎？,2018-11-21T13:52:50.377Z,"時事
2018 年 11 月 21 日",https://megapx-assets.dcard.tw/images/4c8abb6f-513d-4d9c-ae20-a11f7642172a/160.jpeg,https://www.dcard.tw/f/trending/p/230110406,0,0,0
酒駕新修法，強制酒駕者加裝酒精鎖,2019-03-26T08:19:05.391Z,"時事
2019 年 3 月 26 日",https://megapx-assets.dcard.tw/images/4c8abb6f-513d-4d9c-ae20-a11f7642172a/160.jpeg,https://www.dcard.tw/f/trending/p/230962694,0,9,0
#三更 朋友被酒駕撞死了,2020-03-26T03:34:38.866Z,"心情
2020 年 3 月 26 日",https://megapx-assets.dcard.tw/images/0f770d7c-35f4-4e74-aa7a-fe1bed8f4211/160.jpeg,https://www.dcard.tw/f/mood/p/233344243,0,0,0
#更 酒駕撞我的人過世了,2023-08-02T17:36:56.113Z,"心情
2023 年 8 月 3 日",https://megapx-assets.dcard.tw/images/0f770d7c-35f4-4e74-aa7a-fe1bed8f4211/160.jpeg,https://www.dcard.tw/f/mood/p/252731255,0,0,0
美國女網紅「裸上身」毒駕撞死2人　被逮喊：外星人來了,2024-09-14T05:14:16.751Z,"閒聊
9 月 14 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/256667803,0,0,0
父酒駕再犯害死兩歲兒,2018-06-07T11:10:27.843Z,"時事
2018 年 6 月 7 日",https://megapx-assets.dcard.tw/images/4c8abb6f-513d-4d9c-ae20-a11f7642172a/160.jpeg,https://www.dcard.tw/f/trending/p/229022798,0,3,2
#分享 實習律師酒駕致死遭訴 北檢第8件國民法官案,2023-12-12T11:17:24.440Z,"法律人
2023 年 12 月 12 日",https://megapx-assets.dcard.tw/images/6280dbbb-2875-49dc-9eb3-b5e48e034899/160.jpeg,https://www.dcard.tw/f/lawyer/p/254126262,0,0,13
7/1酒駕連坐法 ！ 實施！！！,2019-06-20T22:33:46.073Z,"閒聊
2019 年 6 月 21 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/231540709,0,9,1
柴犬達人8+9酒駕的後續？,2021-11-16T19:20:00.848Z,"心情
2021 年 11 月 17 日",https://megapx-assets.dcard.tw/images/0f770d7c-35f4-4e74-aa7a-fe1bed8f4211/160.jpeg,https://www.dcard.tw/f/mood/p/237468230,0,0,0
高雄樹科大學生酒駕撞3車 1死2重傷,2016-11-10T03:24:05.313Z,"樹德科技大學
2016 年 11 月 10 日",https://megapx-assets.dcard.tw/images/0c132aa1-46b0-449c-bd1c-db47dba22ec2/160.jpeg,https://www.dcard.tw/f/stu/p/225163081,0,153,15
聊聊雙載&酒駕賠償問題,2023-09-04T11:23:20.515Z,"閒聊
2023 年 9 月 4 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/253165452,0,6,0
為什麼法律人都認為酒駕刑責不該調高？,2024-10-30T06:00:12.463Z,"法律人
10 月 30 日",https://megapx-assets.dcard.tw/images/6280dbbb-2875-49dc-9eb3-b5e48e034899/160.jpeg,https://www.dcard.tw/f/lawyer/p/257097113,0,0,0
酒駕…,2024-04-19T15:19:48.202Z,"心情
4 月 19 日",https://megapx-assets.dcard.tw/images/0f770d7c-35f4-4e74-aa7a-fe1bed8f4211/160.jpeg,https://www.dcard.tw/f/mood/p/255315007,0,0,0
我裝砲管我驕傲 抵制無理取締還我砲管權利,2017-05-09T03:14:29.953Z,"機車
2017 年 5 月 9 日",https://megapx-assets.dcard.tw/images/690a5167-1a54-4f81-a7f5-31696ba60f3a/160.jpeg,https://www.dcard.tw/f/vehicle/p/226355536,0,206,40
中國台灣通過酒駕新規：酒駕再犯者最重可判處無期徒刑,2019-06-01T07:03:08.108Z,"機車
2019 年 6 月 1 日",https://megapx-assets.dcard.tw/images/690a5167-1a54-4f81-a7f5-31696ba60f3a/160.jpeg,https://www.dcard.tw/f/vehicle/p/231405084,0,0,2
#討論 酒駕採連坐法在台灣的可行性？,2017-10-16T12:01:45.752Z,"時事
2017 年 10 月 16 日",https://megapx-assets.dcard.tw/images/4c8abb6f-513d-4d9c-ae20-a11f7642172a/160.jpeg,https://www.dcard.tw/f/trending/p/227486645,0,18,3
台灣最常發生死傷交通事故的縣市,2021-12-28T06:52:35.145Z,"心情
2021 年 12 月 28 日",https://megapx-assets.dcard.tw/images/0f770d7c-35f4-4e74-aa7a-fe1bed8f4211/160.jpeg,https://www.dcard.tw/f/mood/p/237771892,0,0,0
南韓通過修法，酒駕殺人最高終身監禁,2018-12-03T08:47:26.955Z,"時事
2018 年 12 月 3 日",https://megapx-assets.dcard.tw/images/4c8abb6f-513d-4d9c-ae20-a11f7642172a/160.jpeg,https://www.dcard.tw/f/trending/p/230197105,0,9,4
「肥胖恐導致車禍傷亡更嚴重」,2023-05-30T09:44:03.296Z,"闕壯理醫師 DrJohn
2023 年 5 月 30 日",https://megapx-assets.dcard.tw/images/521905c0-2954-4d9e-8480-eda217b40195/160.jpeg,https://www.dcard.tw/f/persona_johnchueh/p/242402616,0,0,0
又死一個警察了，希望大家關注警察過勞的問題……,2019-03-05T05:49:10.240Z,"時事
2019 年 3 月 5 日",https://megapx-assets.dcard.tw/images/4c8abb6f-513d-4d9c-ae20-a11f7642172a/160.jpeg,https://www.dcard.tw/f/trending/p/230818462,0,0,0
